Frame,Key
61,g
68,o
71,o
76,d
82,space
88,a
95,f
106,t
113,e
116,r
125,n
132,o
136,o
141,n
159,comma
164,space
168,t
173,h
179,e
183,space
190,b
199,o
206,a
212,r
219,d
226,space
235,o
240,f
244,space
256,d
268,i
273,r
280,e
287,c
293,t
298,o
302,r
311,s
318,space
327,m
337,e
345,e
353,t
360,i
365,n
369,g
375,s
383,space
395,h
399,a
406,v
414,e
418,space
426,b
435,e
438,e
446,n
451,space
475,s
481,c
485,h
493,e
505,d
510,u
518,l
522,e
535,d
548,space
575,a
581,s
588,space
594,f
615,o
621,l
626,l
631,o
636,o
647,w
654,delete
658,delete
662,w
675,s
682,space
729,j
737,a
743,n
751,u
757,a
762,r
767,y
774,space
783,p
787,r
790,e
802,v
807,i
812,o
817,u
822,s
826,l
834,y
841,space
865,c
869,o
874,n
878,f
886,f
898,delete
904,i
910,r
914,m
918,e
924,d
930,space
941,b
950,delete
957,m
965,y
974,delete
977,a
981,y
986,space
991,b
998,e
1001,space
1019,i
1027,n
1031,space
1049,j
1056,u
1065,l
1075,y
1082,space
1087,o
1092,r
1097,space
1106,o
1111,c
1117,t
1123,o
1144,b
1153,a
1161,r
1170,delete
1174,delete
1185,e
1193,r
1203,dot
1209,space
1234,t
1239,h
1244,e
1248,space
1270,t
1276,i
1281,m
1286,e
1292,space
1305,o
1310,f
1317,space
1332,e
1337,a
1345,c
1351,h
1356,space
1365,m
1370,e
1375,e
1381,t
1385,i
1391,n
1396,g
1402,space
1448,w
1455,i
1468,l
1479,delete
1490,l
1494,l
1502,space
1508,b
1517,e
1523,space
1530,a
1536,n
1548,space
1556,delete
1563,delete
1590,m
1600,space
1617,t
1625,o
1631,space
1640,n
1647,o
1652,o
1658,n
1675,dot
1682,space
1687,h
1692,o
1697,w
1707,e
1715,v
1722,e
1728,r
1759,comma
1764,space
1783,f
1786,u
1791,r
1798,t
1809,h
1814,e
1818,r
1827,space
1847,l
1853,o
1859,g
1863,i
1867,s
1872,t
1881,i
1887,c
1891,a
1898,l
1907,space
1916,d
1922,e
1927,t
1932,a
1938,i
1944,l
1953,space
1965,delete
1973,s
1978,space
1984,w
1997,i
2004,l
2009,l
2015,space
2021,b
2028,e
2032,space
2063,a
2072,n
2077,n
2083,o
2088,u
2147,n
2155,c
2162,e
2167,d
2173,space
2185,a
2193,t
2197,space
2205,a
2214,space
2222,l
2226,a
2232,t
2240,e
2245,r
2251,space
2259,d
2265,a
2289,t
2296,e
2304,space
2313,p
2318,r
2323,i
2332,o
2338,r
2343,space
2347,t
2354,o
2360,space
2369,e
2376,a
2386,c
2393,h
2398,space
2409,m
2419,e
2429,e
2436,t
2442,i
2448,n
2455,g
2484,dot
2489,space
2511,p
2518,l
2524,e
2530,a
2536,s
2542,e
2548,space
2553,f
2558,e
2563,e
2569,l
2574,space
2580,f
2586,r
2592,e
2595,e
2607,space
2620,t
2626,o
2631,space
2637,c
2644,o
2649,n
2653,t
2659,a
2665,c
2672,t
2676,space
2688,e
2690,i
2694,t
2698,h
2704,e
2710,r
2716,space
2747,k
2756,e
2763,i
2769,t
2773,h
2781,space
2793,l
2798,a
2804,r
2815,n
2820,e
2827,t
2834,space
2840,delete
2845,delete
2849,delete
2868,e
2873,y
2880,space
2885,a
2892,t
2898,space
2936,delete
2945,comma
2949,space
2953,o
2959,f
2964,space
2973,delete
2978,delete
2991,r
2997,space
3005,m
3010,e
3015,space
3022,i
3029,f
3033,space
3039,y
3046,o
3047,u
3056,space
3064,s
3068,h
3074,o
3074,u
3081,l
3087,d
3092,space
3107,h
3113,a
3121,v
3127,e
3133,space
3139,a
3145,n
3153,y
3159,space
3163,q
3169,u
3173,e
3180,s
3185,t
3188,i
3194,o
3196,n
3225,s
3232,space
3244,delete
3253,dot
3260,space
3265,t
3270,h
3273,a
3279,n
3288,k
3296,space
3304,y
3312,o
3318,u
3348,dot
